car_dealership,price,city,brand,model,release_date,type_of_ban,color,distance,gearbox,gear,is_new,views,owners,market,seats,Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası,engine_power,horsepower,fuel,condition_1,condition_2,day,month,year
0,13500.0,Bakı,Opel,Vectra,2000,Hetçbek,Göy,370000,Mexaniki,Ön,0,267,2,Avropa,5,1,1,0,0,0,0,1,0,1,1,0,1,0,1,101,Benzin,0,1,28,5,2023
1,39950.0,Bakı,Toyota,Corolla,2023,Sedan,Mavi,0,Avtomat,Ön,0,12410,1,Rəsmi diler,5,1,1,0,1,1,1,1,1,0,1,1,1,1,1,178,Hibrid,0,0,28,5,2023
0,33200.0,Bakı,Hyundai,Santa Fe,2013,Offroader / SUV,Qara,168636,Avtomat,Ön,0,148,1,Avropa,7,1,1,1,1,1,1,1,1,1,1,1,1,1,2,184,Dizel,0,0,28,5,2023
0,17000.0,Bakı,Ford,Fusion,2015,Sedan,Göy,120873,Avtomat,Ön,0,3358,1,Amerika,5,1,1,0,1,1,1,1,0,0,1,1,1,0,1,181,Benzin,0,0,25,5,2023
0,61200.0,Bakı,Toyota,RAV4,2022,Offroader / SUV,Qara,0,Avtomat,Ön,0,16183,1,Rəsmi diler,5,1,1,0,1,1,1,1,1,1,1,1,0,0,2,173,Benzin,0,0,28,5,2023
0,25000.0,Bakı,Mercedes,E 200,2007,Sedan,Gümüşü,204000,Avtomat,Arxa,0,1141,1,Avropa,5,1,1,1,1,1,1,1,1,1,1,0,0,1,1,184,Benzin,0,0,27,5,2023
0,27900.0,Bakı,Chevrolet,Equinox,2017,Offroader / SUV,Tünd qırmızı,45000,Avtomat,Tam,0,128,1,Amerika,5,1,1,0,1,1,1,1,1,0,1,1,1,1,1,170,Benzin,0,0,26,5,2023
0,13400.0,Bakı,Opel,Astra,2009,Hetçbek,Boz,153896,Mexaniki,Ön,0,1282,1,Avropa,5,1,1,0,0,1,0,1,0,0,1,0,0,1,1,90,Benzin,0,0,27,5,2023
0,45050.0,Bakı,BMW,520,2016,Sedan,Göy,135000,Avtomat,Arxa,0,9807,1,Koreya,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,184,Dizel,0,0,26,5,2023
0,13500.0,Bakı,Chevrolet,Cruze,2012,Sedan,Ağ,150000,Avtomat,Ön,0,6478,1,Rəsmi diler,4,1,1,0,0,1,0,1,1,0,0,1,0,0,1,124,Benzin,0,0,27,5,2023
0,13800.0,Bakı,Mercedes,C 200,1999,Sedan,Gümüşü,298500,Avtomat,Arxa,0,778,2,Avropa,4,1,1,1,1,1,0,1,1,0,1,0,1,0,2,136,Benzin,0,0,25,5,2023
0,16000.0,Bakı,Khazar,LX,2023,Sedan,Ağ,0,Mexaniki,Ön,0,154881,1,Digər,5,1,1,0,0,1,1,1,0,0,0,0,0,0,1,113,Benzin,0,0,17,5,2023
0,2800.0,Şamaxı,LADA (VAZ),2106,1989,Sedan,Bej,27600,Mexaniki,Arxa,0,359,1,Rusiya,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,65,Benzin,0,0,25,5,2023
0,11500.0,Bakı,Kia,Rio,2011,Sedan,Ağ,389000,Avtomat,Ön,0,1939,1,Avropa,5,1,1,0,1,1,0,1,0,0,1,0,0,0,1,97,Benzin,0,0,25,5,2023
0,3000.0,Gəncə,LADA (VAZ),2107,1991,Sedan,Bej,12000,Mexaniki,Arxa,0,180,1,Rusiya,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,75,Benzin,0,0,28,5,2023
0,13800.0,Bakı,Volkswagen,Passat CC,2012,Sedan,Qara,234000,Avtomat,Ön,0,5523,1,Avropa,5,1,1,1,1,1,1,1,1,1,1,1,1,0,2,200,Benzin,0,0,27,5,2023
0,5500.0,Gəncə,Mercedes,190,1991,Sedan,Qara,500000,Avtomat,Arxa,0,270,1,Avropa,5,1,1,1,0,0,0,0,0,0,0,0,0,0,2,122,Benzin,0,0,28,5,2023
1,44030.0,Lənkəran,Toyota,Corolla,2022,Sedan,Ağ,0,Avtomat,Ön,1,39716,0,Avropa,5,1,1,1,1,1,1,1,0,1,1,1,0,0,1,158,Hibrid,0,0,28,5,2023
1,54900.0,Bakı,Haval,H6,2022,Offroader / SUV,Qara,0,Avtomat,Tam,0,89322,1,Rəsmi diler,7,1,1,1,1,1,1,1,1,1,1,1,0,1,2,204,Benzin,0,0,18,5,2023
1,108630.0,Lənkəran,Toyota,Highlander,2022,Offroader / SUV,Qara,0,Avtomat,Tam,1,6365,0,Rəsmi diler,5,1,1,1,1,1,1,1,1,1,1,1,0,0,2,249,Hibrid,0,0,28,5,2023
